"","ENST","ENSG","Symbol","Entrez"
"625","ENST00000612589","ENSG00000275168","",NA
"626","ENST00000622644","ENSG00000276459","KIR2DL3",3804
"627","ENST00000617437","ENSG00000278833","",NA
"629","ENST00000615270","ENSG00000276465","KIR2DS4",3809
"630","ENST00000620588","ENSG00000278248","KIR2DL1",3802
"631","ENST00000615880","ENSG00000277392","KIR3DL3",115653
"632","ENST00000632320","ENSG00000275035","CCDC92",80212
"641","ENST00000620455","ENSG00000277850","KIR2DL4",3805
"646","ENST00000618394","ENSG00000276084","KIR3DL3",115653
"647","ENST00000592900","ENSG00000267728","",81870
"649","ENST00000610345","ENSG00000277175","KIR3DL1",3811
"651","ENST00000619317","ENSG00000276197","",NA
"652","ENST00000572513","ENSG00000263090","KRTAP9-2",83899
"653","ENST00000611446","ENSG00000274917","RNA5-8SN5",100008587
"654","ENST00000575341","ENSG00000262512","KRTAP9-4",85280
"655","ENST00000619779","ENSG00000273730","",NA
"656","ENST00000614535","ENSG00000273937","",NA
"657","ENST00000571096","ENSG00000262749","KRTAP9-3",83900
"658","ENST00000570916","ENSG00000263103","KRTAP9-10P",NA
"659","ENST00000574248","ENSG00000267635","",100507608
"660","ENST00000593170","ENSG00000267208","",NA
"661","ENST00000576125","ENSG00000262218","KRTAP29-1",100533177
"662","ENST00000630168","ENSG00000281763","DHX36",NA
"670","ENST00000628634","ENSG00000281651","KCNQ2-AS1",NA
"671","ENST00000630933","ENSG00000281151","KCNQ2",3785
"690","ENST00000622043","ENSG00000277028","KIR3DL3",115653
"691","ENST00000628700","ENSG00000281775","FTCD",10841
"701","ENST00000613226","ENSG00000275051","PIWIL1",9271
"710","ENST00000615362","ENSG00000278573","",NA
"711","ENST00000621424","ENSG00000277196","",102724788
"713","ENST00000633215","ENSG00000281954","",NA
"714","ENST00000632921","ENSG00000282329","MREGP1",NA
"715","ENST00000633499","ENSG00000275428","",NA
"719","ENST00000620062","ENSG00000278368","KIR3DL1",3811
"721","ENST00000619663","ENSG00000277560","KIR3DP1",NA
"722","ENST00000621155","ENSG00000275416","KIR3DL2",3812
"724","ENST00000630534","ENSG00000277101","ARHGEF26",26084
"729","ENST00000614753","ENSG00000276357","KIR3DL2",3812
"731","ENST00000621713","ENSG00000275351","KIR2DS4",3809
"732","ENST00000612101","ENSG00000274106","",NA
"733","ENST00000618429","ENSG00000277976","KRT18P40",NA
"734","ENST00000624528","ENSG00000279974","",NA
"735","ENST00000617825","ENSG00000275353","KIR2DS4",3809
"736","ENST00000631765","ENSG00000282391","",NA
"737","ENST00000619540","ENSG00000278780","ZNF430",80264
"743","ENST00000610327","ENSG00000277833","KIR2DL1",3802
